     81969	ach
     70978	ada
   1113304	af
    722226	am
     29930	bas
    189032	bci
    434512	bem
     13417	bin
     19114	cce
     18875	chw
     38811	cjk
    214976	crs
     16906	dua
     17715	dyu
    648837	ee
    377825	efi
     34747	fon
    463074	gaa
    323270	guw
      9186	hz
    475206	ig
      6115	ish
    243488	iso
     58313	kam
     33185	kbp
      5858	kea
    233098	kg
    106700	ki
    113844	kj
    101056	kmb
     40006	koo
    248628	kqn
     46507	kri
     42798	kss
    121707	kwn
    193640	kwy
     16906	lam
    254724	lg
    601114	ln
    464157	loz
    224064	lu
    330020	lua
    358656	lue
    153557	lun
    154942	luo
      1784	men
    206032	mfe
     48951	mgr
    216257	mos
      2215	mzy
     29174	nba
     64123	nd
     33170	ndc
    114089	ng
     43957	ngl
    103983	nr
    622966	nso
    883696	ny
     60567	nya
    130668	nyk
     26959	nyu
    103909	nzi
     24981	oke
    178199	om
     26021	pcm
    150149	rnd
    410602	run
    483985	rw
     58888	seh
     15176	sfs
    289195	sg
     53457	sid
    786530	sn
     56847	sop
    113309	ss
    927466	st
    979527	sw
    588132	swc
    399452	ti
    209779	tiv
    252105	tll
    879004	tn
     76514	tog
      4086	toh
    331065	toi
    853025	ts
     93794	tsc
     17480	ttj
    265670	tum
    606197	tw
    241664	umb
     32710	urh
    229716	ve
     83252	vmw
    120348	wal
     31514	wes
    876189	xh
     50411	yao
    474987	yo
     15214	zib
      2306	zsl
   1062534	zu
